SLF943,CompID,cntr_id,line_num,po_num / Ref#,itm_Num,itm_color,itm_size,itm_name,itm_qty,ctn_qty,ctns,L,W,H,Ctn_cube,ctn_wgt,ENTRY-DT,ETA-DT,SUPPLIER,Hdr-Note,Dtl-Note
SLF943,QUEST,309295461,73,,SP17-TRD2-3,-,-,INV RED PACKAGE SPINPOP. PACKED 6/60,240,60,4,,,,3,1,11/15/2019,11/15/2019,,,
SLF943,QUEST,309295461,74,,SP17-TRD4-5,-,-,INV RED PACKAGE SPINPOP PACKED 6/24,24,24,1,,,,3,1,11/15/2019,11/15/2019,,,
SLF943,QUEST,309295461,75,,SP17-TWN-4,-,-,INV RED PACKAGE SPINPOP PACKED 6/36,288,36,8,,,,3,1,11/15/2019,11/15/2019,,,
SLF943,QUEST,309295461,76,,SP17-VTG-2,-,-,INV MINT PACKAGE SPINPOP PACKED 29,29,29,1,,,,3,1,11/15/2019,11/15/2019,,,
SLF943,QUEST,309295461,77,,SP17-VTG2-7,-,-,INV MINT PACKAGE SPINPOP PACKED 50,100,50,2,,,,3,1,11/15/2019,11/15/2019,,,
SLF943,QUEST,309295461,78,,SP17-VTG2-4,MEIJER,-,INV MINT SPINPOP. PACKED 12,480,12,40,,,,3,1,11/15/2019,11/15/2019,,,
SLF943,QUEST,309295461,79,,SP18-CUST1-5,-,36PK,INV RED PACKAGE SPINPOP PACKED 6/36,180,36,5,,,,3,1,11/15/2019,11/15/2019,,,
SLF943,QUEST,309295461,80,,SP18-MIR-7,-,12PK,INV MINT SPINPOP. PACKED 12,3048,12,254,,,,3,1,11/15/2019,11/15/2019,,,
SLF943,QUEST,309295461,81,,SP18-MIR-7,-,10PK,INV MINT SPINPOP. PACKED 10,11000,10,1100,,,,3,1,11/15/2019,11/15/2019,,,
SLF943,QUEST,309295461,82,,SP18-MRBL-4,-,-,INV MINT PACKAGE SPINPOP PACKED 6/60,3360,60,56,,,,3,1,11/15/2019,11/15/2019,,,
SLF943,QUEST,309295461,83,,SP18-MIX2-6,MEIJER,-,INV MINT PACKAGE SPINPOP PACKED 12,1620,12,135,,,,3,1,11/15/2019,11/15/2019,,,
SLF943,QUEST,309295461,84,,SP18-MRBL-6,-,-,INV MINT PACKAGE SPINPOP PACKED 6/60,60,60,1,,,,3,1,11/15/2019,11/15/2019,,,
SLF943,QUEST,309295461,85,,SP18-WMDCWOW-10-50PK,-,-,SPINPOP LLAMA RED PACKAGE,950,50,19,,,,3,1,11/15/2019,11/15/2019,,,
SLF943,QUEST,309295461,86,,WM-18-SPC,WMT,-,WMT SPINPOP PHONE HOLDER - 18PC RED PACKAGE,2394,18,133,,,,3,1,11/15/2019,11/15/2019,,,
SLF943,QUEST,309295461,87,,WM-48-JUNIOR,WMT,-,WM 48 MSTR JUNIOR - PACKED 48 SP ASST FOR WMT RED PACKAGE,1680,48,35,,,,3,1,11/15/2019,11/15/2019,,,
SLF943,QUEST,309295461,88,,WM-48-MAG,WMT,-,WM 48 MSTR MAG - PACKED 48 SP ASST FOR WMT RED PACKAGE,576,48,12,,,,3,1,11/15/2019,11/15/2019,,,
SLF943,QUEST,309295461,89,,WM-48-MEN,WMT,-,WM 48 MSTR MEN - PACKED 48 SP ASST FOR WMT RED PACKAGE,1008,48,21,,,,3,1,11/15/2019,11/15/2019,,,
SLF943,QUEST,309295461,90,,WM-48-MET,WMT,-,WM 48 SPINPOP RED PACKAGE,240,48,5,,,,3,1,11/15/2019,11/15/2019,,,
SLF943,QUEST,309295461,91,,WM-48-MIR,WMT,-,WM 48 MSTR MIRROR - PACKED 48 SP ASST FOR WMT RED PACKAGE,2496,48,52,,,,3,1,11/15/2019,11/15/2019,,,
SLF943,QUEST,309295461,92,,WM-48-MISSES,WMT,-,WM 48 MSTR MISSES - PACKED 48 SP ASST FOR WMT RED PACKAGE,1056,48,22,,,,3,1,11/15/2019,11/15/2019,,,
SLF943,QUEST,309295461,93,,WMT-36-BLUE MARBLE,WMT,-,WM 36 SPINPOP RED PACKAGE,36,36,1,,,,3,1,11/15/2019,11/15/2019,,,
SLF943,QUEST,309295461,94,,WMT-36-BLUE-GLITTER,WMT,-,WM 36 SPINPOP RED PACKAGE,288,36,8,,,,3,1,11/15/2019,11/15/2019,,,
SLF943,QUEST,309295461,95,,WMT-36-LIVE LONG,WMT,-,WM 36 SPINPOP RED PACKAGE,36,36,1,,,,3,1,11/15/2019,11/15/2019,,,
SLF943,QUEST,309295461,96,,WMT-36-LIVE LONG,WMT,-,WM 36 SPINPOP RED PACKAGE,18,18,1,,,,3,1,11/15/2019,11/15/2019,,,
SLF943,QUEST,309295461,97,,WMT-36-LLAMA,-,-,SPINPOP LLAMA MINT PACKAGE RED PACKAGE,108,36,3,,,,3,1,11/15/2019,11/15/2019,,,
SLF943,QUEST,309295461,98,,WMT-36PC-RDHRT,WMT,-,WM 36 SPINPOP RED PACKAGE,180,36,5,,,,3,1,11/15/2019,11/15/2019,,,
SLF943,QUEST,309295461,99,,WMT-36PC-WHSNT,WMT,-,WM 36 SPINPOP RED PACKAGE,18,18,1,,,,3,1,11/15/2019,11/15/2019,,,
SLF943,QUEST,309295461,100,,WMT-36-PINEAPPLE,WMT,-,WMT 36PC SP AUG WOW - PINEAPPLE RED PACKAGE,216,36,6,,,,3,1,11/15/2019,11/15/2019,,,
SLF943,QUEST,309295461,101,,WMT-36-PINEAPPLE,WMT,-,WMT 36PC SP AUG WOW - PINEAPPLE RED PACKAGE,12,6,2,,,,3,1,11/15/2019,11/15/2019,,,
SLF943,QUEST,309295461,102,,WMT-36-RED GEM,WMT,-,WM 36 SPINPOP RED PACKAGE,72,36,2,,,,3,1,11/15/2019,11/15/2019,,,
SLF943,QUEST,309295461,103,,WMT-36-SPLATTER,WMT,-,WM 36 SPINPOP RED PACKAGE,18,18,1,,,,3,1,11/15/2019,11/15/2019,,,
SLF943,QUEST,309295461,104,,SP17-TRD2-3,MEIJER,-,MINT SPINPOP. PACKED 6/60,852,12,71,,,,3,1,11/15/2019,11/15/2019,,,
SLF943,QUEST,309295461,105,,SP18-MRBL-1,-,-,INV MINT PACKAGE SPINPOP PACKED 10,820,10,82,,,,3,1,11/15/2019,11/15/2019,,,
SLF943,QUEST,309295461,106,,SP18-TXT3-3,-,10PK,INV MINT PACKAGE SPINPOP PACKED 10,20,10,2,,,,3,1,11/15/2019,11/15/2019,,,
SLF943,QUEST,309295461,107,,SP18-TXT3-3,-,6PK,INV MINT PACKAGE SPINPOP PACKED 6/60,36,6,6,,,,3,1,11/15/2019,11/15/2019,,,
SLF943,QUEST,309295461,108,,SP17-MRBL-7,-,-,INV MINT PACKAGE SPINPOP PACKED 10,1930,10,193,,,,3,1,11/15/2019,11/15/2019,,,
SLF943,QUEST,309295461,109,,SP17-TRD-1,-,-,INV MINT PACKAGE SPINPOP PACKED 6/24,816,24,34,,,,3,1,11/15/2019,11/15/2019,,,
SLF943,QUEST,309295461,110,,SP17-TRD4-5,-,-,INV MINT PACKAGE SPINPOP PACKED 6/24,768,24,32,,,,3,1,11/15/2019,11/15/2019,,,
SLF943,QUEST,309295461,111,,WM-18-SPC,WMT,-,WMT SPINPOP PHONE HOLDER - 18PC RED PACKAGE,486,18,27,,,,3,1,11/15/2019,11/15/2019,,,
SLF943,QUEST,309295461,112,,MN17-SLD-NE-OCBL,-,-,INV-MONET WALLET -PACKED 4/12- COLOR OCEAN BLUE. BLACK PACKAGING,480,12,40,,,,3,1,11/15/2019,11/15/2019,,,
SLF943,QUEST,309295461,113,,WM228-ASST,-,-,WM 228 SPINPOP RED PACKAGE,1368,228,6,,,,3,1,11/15/2019,11/15/2019,,,
SLF943,QUEST,309295461,114,,WM-48-MIR,WMT,-,WM 48 MSTR MIRROR - PACKED 48 SP ASST FOR WMT RED PACKAGE,144,48,3,,,,3,1,11/15/2019,11/15/2019,,,
SLF943,QUEST,309295461,115,,SP17-21AN-7,-,-,INV MINT PACKAGE SPINPOP PACKED 24,528,24,22,,,,3,1,11/15/2019,11/15/2019,,,
SLF943,QUEST,309295461,116,,SP18AU-MRBL-1,-,6PK,INV MINT PACKAGE SPINPOP PACKED 6,60,6,10,,,,3,1,11/15/2019,11/15/2019,,,
SLF943,QUEST,309295461,117,,SP18AU-HNCMB-BK,-,-,Universal Phone Holders- PACKED 6 MINT PACKAGE,60,6,10,,,,3,1,11/15/2019,11/15/2019,,,
SLF943,QUEST,309295461,118,,SP18AU-SHM-MBL,-,-,Universal Phone Holders- PACKED 6 MINT PACKAGE,48,6,8,,,,3,1,11/15/2019,11/15/2019,,,
SLF943,QUEST,309295461,119,,SP18AU-CUST2-5,-,-,Universal Phone Holders- PACKED 6 MINT PACKAGE,66,6,11,,,,3,1,11/15/2019,11/15/2019,,,
SLF943,QUEST,309295461,120,,SP18-MIR-6-50PK,-,-,INV MINT SPINPOP. PACKED 50,100,50,2,,,,3,1,11/15/2019,11/15/2019,,,
SLF943,QUEST,309295461,121,,MU17-STK-PPPK,-,-,SELFIE STICKER PURPLE PINK PACKED 24,888,24,37,,,,3,1,11/15/2019,11/15/2019,,,
SLF943,QUEST,309295461,122,,IJOY-BEACHB-24CVS,-,-,IJOY BCH-BOMB WRLSS SPKR -CVS ITEM # 242992 -24/BOX NEEDS CVS CTN LBL,48,24,2,,,,3,5,11/15/2019,11/15/2019,,,
SLF943,QUEST,309295461,123,,BAB-KIDW-PINK/POBL,-,-,,144,12,12,,,,3,1,11/15/2019,11/15/2019,,,
SLF943,QUEST,309295461,124,,MN18-TXT-RSGLDGLT,-,-,INV-MONET WALLET -PACKED 6/36- COLOR ROSE GOLD GLITTER. WHITE PACKAGING,252,36,7,,,,3,1,11/15/2019,11/15/2019,,,
SLF943,QUEST,309295461,125,,IJ-BTS36-MLK,-,-,IJOY SOUL 360 PORTABLE SPEAKER,312,24,13,,,,3,1,11/15/2019,11/15/2019,,,
SLF943,QUEST,309295461,126,,IJ-ACTTR-RED-24PK,-,-,INVENTORY-IJOY ACTIVITY TRACKER FOR KIDS - 24PK - COLOR RED,144,24,6,,,,3,3,11/15/2019,11/15/2019,,,
SLF943,QUEST,309295461,127,,IJ-ACTTR-MNT-24PK,-,-,IJOY ACTIVITY TRACKER FOR KIDS - 24PK - COLOR MINT,96,24,4,,,,3,3,11/15/2019,11/15/2019,,,
